2R	7361868	7363023	2	2	1	2253	0	28
2R	7361868	7363331	2	2	1	498	0	28
2R	7361868	7363594	2	2	1	648	0	28
2R	7361868	7363880	2	2	1	51	0	28
2R	7361868	7364177	2	2	1	1146	1	28
2R	7361868	7364455	2	2	1	928	0	28
2R	7361868	7364731	2	2	1	274	0	28
2R	7361868	7365017	2	2	1	338	0	28
2R	7361868	7365311	2	2	1	299	0	28
2R	7361868	7365942	2	2	1	204	0	28
2R	7361868	7366465	2	2	1	75	0	28
2R	7361868	7366804	2	2	1	220	0	28
2R	7363064	7363353	2	2	1	1	0	40
2R	7363414	7363688	2	2	1	1	0	25
2R	7363749	7364331	2	6	1	1	0	23
