2L	8117	8192	+	14000
2L	11345	11409	-	14001
2L	11345	11778	-	14001
2L	11519	11778	-	14001
2L	12222	12285	-	14001
2L	12929	13519	-	14001
2L	13626	13682	-	14001
2L	14875	14932	-	14001
2L	15712	17052	-	14001
2L	15712	19879	-	14001
2L	15712	19884	-	14001
2L	17213	18025	-	14001
2L	17213	18260	-	14001
2L	17213	19879	-	14001
2L	17213	21135	-	14001
2L	18169	18260	-	14001
2L	20016	20830	-	14001
2L	20016	21065	-	14001
2L	20016	21135	-	14001
2L	20021	21065	-	14001
2L	20021	21135	-	14001
2L	20974	21065	-	14001
2L	21201	21348	-	14001
2L	22688	22742	-	14002
2L	22936	22993	-	14002
2L	22942	22997	+	14003
2L	23874	23928	-	14002
2L	24211	24746	-	14002
2L	26689	26765	-	14004
2L	26965	27052	-	14004
2L	27491	28014	-	14004
2L	27491	28410	-	14004
2L	28241	28732	-	14004
2L	28640	28732	-	14004
2L	28927	28981	-	14004
2L	29069	30393	-	14004
2L	29069	33844	-	14004
2L	29069	34557	-	14004
2L	29069	35745	-	14004
2L	33271	33844	-	14004
2L	33271	34557	-	14004
2L	34289	34557	-	14004
2L	34605	34719	-	14004
2L	34913	35745	-	14004
2L	35213	35745	-	14004
2L	35213	38534	-	14004
2L	38299	38534	-	14004
2L	38732	39300	-	14004
2L	39858	58080	-	14004
2L	58177	59189	-	14004
2L	58183	58248	-	14004
2L	58183	58958	-	14004
2L	58183	59189	-	14004
2L	58183	65345	-	14004
2L	58194	59189	-	14004
2L	58351	59189	-	14004
2L	58732	59189	-	14004
2L	66613	66675	+	14008
2L	67004	67388	+	14008
2L	67112	67388	+	14008
2L	67138	67388	+	14008
2L	67508	67568	+	14008
2L	67763	67891	+	14008
2L	68024	68084	+	14008
2L	70550	70606	+	14008
2L	71805	71949	+	14010
2L	72082	74902	+	14010
2L	72978	74902	+	14010
2L	73643	73754	-	14009
2L	73693	73819	+	14010
2L	73693	74902	+	14010
2L	73898	74902	+	14010
2L	74573	74902	+	14010
2L	75019	75077	+	14010
2L	77584	77641	+	14011
2L	84278	87019	-	14012
2L	94893	94988	+	14013
2L	95071	95131	+	14013
2L	95302	95353	+	14013
2L	97834	97883	+	14013
2L	98471	98526	+	14013
2L	99724	99784	+	14013
2L	100517	100571	+	14013
2L	100704	100761	+	14013
2L	100943	101015	+	14013
2L	101195	101248	+	14013
2L	101620	101875	+	14013
2L	102907	103005	+	14014
