2R	7361868	7363023	2	2	1	8146	0	28
2R	7361868	7363331	2	2	1	1703	0	28
2R	7361868	7363594	2	2	1	2339	3	28
2R	7361868	7363880	2	2	1	201	0	28
2R	7361868	7364177	2	2	1	3851	2	28
2R	7361868	7364455	2	2	1	3319	3	28
2R	7361868	7364731	2	2	1	910	0	28
2R	7361868	7365017	2	2	1	1330	0	28
2R	7361868	7365311	2	2	1	1260	0	28
2R	7361868	7365942	2	2	1	705	0	28
2R	7361868	7366465	2	2	1	251	0	28
2R	7361868	7366804	2	2	1	678	0	28
2R	7363749	7364331	2	6	1	1	2	23
2R	7364023	7365456	2	2	1	1	0	27
2R	7364317	7365153	2	2	1	2	0	27
2R	7364323	7365456	2	2	1	1	0	27
2R	7364592	7365153	2	2	1	1	0	27
