2R	7332381	7364455	2	2	1	1	0	15
2R	7332381	7365942	2	2	1	1	0	15
2R	7361868	7363023	2	2	1	7179	1	28
2R	7361868	7363331	2	2	1	1476	0	28
2R	7361868	7363594	2	2	1	1675	0	28
2R	7361868	7363880	2	2	1	196	0	28
2R	7361868	7364177	2	2	1	3069	1	28
2R	7361868	7364455	2	2	1	3066	0	28
2R	7361868	7364731	2	2	1	802	0	28
2R	7361868	7365017	2	2	1	1129	0	28
2R	7361868	7365311	2	2	1	1030	0	28
2R	7361868	7365942	2	2	1	546	0	28
2R	7361868	7366465	2	2	1	237	0	28
2R	7361868	7366804	2	2	1	470	0	28
2R	7363110	7363680	2	2	1	1	0	12
2R	7363746	7364597	2	4	1	5	0	21
2R	7364242	7365072	2	2	1	1	0	34
2R	7364592	7365153	2	2	1	1	0	27
